Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
460000,0.008560635,2767.0,1133.0,0.38860938,12.300000287592411,12.300000287592411,0.005114156,0.060446132,0.00029726556,1.0
470000,0.01338339,1374.6666666666667,1164.0,0.43086636,5.5166668221354485,5.5166668221354485,0.011272771,0.067832105,0.00029720902,1.0
480000,0.019775664,1448.0,1201.0,0.41194215,5.728571606533868,5.728571606533868,0.01335236,0.06866384,0.00029715252,1.0
490000,0.020552697,1433.4285714285713,1236.0,0.3866502,5.885714448988438,5.885714448988438,0.012555507,0.06528494,0.00029709018,1.0
500000,0.01547692,2977.8,1278.0,0.38969994,13.080000323057174,13.080000323057174,0.010076925,0.066719756,0.00029702685,1.0
510000,0.013917249,1099.0,1322.0,0.39768073,3.9750001169741154,3.9750001169741154,0.010528157,0.07243139,0.00029696967,1.0
520000,0.007952139,1471.3333333333333,1357.0,0.41659638,6.900000162422657,6.900000162422657,0.006054339,0.06710776,0.00029691277,1.0
530000,0.007555566,960.3333333333334,1392.0,0.42270896,3.76666676128904,3.76666676128904,0.011118405,0.07272388,0.00029684993,1.0
540000,0.006404366,3763.0,1429.0,0.414235,17.2400004029274,17.2400004029274,0.010265321,0.07118105,0.00029678672,1.0
550000,0.0041797976,814.5,1465.0,0.41355094,3.3500000908970833,3.3500000908970833,0.004430389,0.074014954,0.00029673026,1.0
560000,0.0032368759,2217.0,1504.0,0.4436183,9.460000264644624,9.460000264644624,0.0107002035,0.069738135,0.00029667365,1.0
570000,0.0026744513,3194.4,1540.0,0.40948147,14.140000310540199,14.140000310540199,0.01045424,0.07112445,0.00029661081,1.0
580000,0.0028834275,1270.5,1582.0,0.42391577,4.8250001054257154,4.8250001054257154,0.009281504,0.062928155,0.00029654792,1.0
590000,0.0019361104,1292.6666666666667,1623.0,0.40692753,4.866666781405608,4.866666781405608,0.00869825,0.06819368,0.0002964907,1.0
600000,0.0014434743,2761.3333333333335,1667.0,0.4307359,12.650000351170698,12.650000351170698,0.009958394,0.07198801,0.00029643383,1.0
610000,0.0012160864,1748.5714285714287,1702.0,0.4295393,6.928571578647409,6.928571578647409,0.009939162,0.07001339,0.00029637088,1.0
620000,0.0013838878,1087.3333333333333,1745.0,0.39758158,4.066666782730156,4.066666782730156,0.015104301,0.064612255,0.00029630808,1.0
630000,0.0012643754,876.0,1785.0,0.38383022,3.300000110641122,3.300000110641122,0.0070262323,0.072183125,0.0002962513,1.0
640000,0.0014079595,1529.0,1826.0,0.43330982,6.65000019595027,6.65000019595027,0.005248937,0.06652759,0.0002961943,1.0
650000,0.0016912905,3144.25,1862.0,0.41715565,14.100000336766243,14.100000336766243,0.008644455,0.06260427,0.0002961314,1.0
660000,0.0021387746,1851.7142857142858,1901.0,0.39905483,8.128571627395493,8.128571627395493,0.012962031,0.06635513,0.00029606879,1.0
670000,0.0035958167,2460.714285714286,1948.0,0.4090505,10.514285967818328,10.514285967818328,0.012477418,0.06619344,0.0002960059,1.0
680000,0.0038846978,656.5,1987.0,0.41378555,1.8833333849906921,1.8833333849906921,0.011096568,0.06854956,0.00029594978,1.0
690000,0.0028209765,1842.75,2030.0,0.3950843,8.050000170245767,8.050000170245767,0.0066842837,0.068815075,0.00029589326,1.0
700000,0.0034401263,2292.0,2065.0,0.4209217,10.700000166893005,10.700000166893005,0.005211322,0.06762015,0.00029583,1.0
710000,0.003986112,2459.6666666666665,2103.0,0.41695258,9.66666687776645,9.66666687776645,0.008222344,0.069105685,0.0002957668,1.0
720000,0.0073293936,2064.6666666666665,2144.0,0.43587983,8.300000220537186,8.300000220537186,0.007115473,0.070383586,0.00029571063,1.0
730000,0.010672423,1892.6,2181.0,0.44064802,7.980000199377537,7.980000199377537,0.00901884,0.06977074,0.00029565435,1.0
740000,0.004425828,4552.25,2213.0,0.42753333,21.775000497698784,21.775000497698784,0.008198395,0.07175581,0.00029559134,1.0
750000,0.0037361963,630.3333333333334,2256.0,0.43382457,1.900000050663948,1.900000050663948,0.008614075,0.06824832,0.00029552839,1.0
760000,0.00373438,3636.8,2297.0,0.44999436,16.44000039547682,16.44000039547682,0.010486458,0.0707133,0.0002954654,1.0
770000,0.0027555695,1792.0,2338.0,0.43617353,7.333333512147267,7.333333512147267,0.011239428,0.06695429,0.00029540918,1.0
780000,0.0020348446,443.5,2372.0,0.389066,0.9000000543892384,0.9000000543892384,0.010939012,0.06532504,0.0002953526,1.0
790000,0.002042253,831.0,2412.0,0.40151483,3.000000093664442,3.000000093664442,0.012616393,0.0698705,0.0002952902,1.0
800000,0.002154691,1661.8333333333333,2450.0,0.4026656,6.950000211596489,6.950000211596489,0.008634647,0.06767577,0.00029522757,1.0
810000,0.0017884839,1779.0,2485.0,0.38423422,8.100000188996395,8.100000188996395,0.013391404,0.06846592,0.0002951707,1.0
820000,0.00189525,6000.0,2525.0,0.39953798,26.80000066757202,26.80000066757202,0.0060929283,0.069525406,0.0002951139,1.0
830000,0.0017437632,1668.142857142857,2567.0,0.4102832,6.914285863084452,6.914285863084452,0.010677594,0.064358994,0.0002950509,1.0
840000,0.0019514096,2006.2,2606.0,0.4032219,8.70000019967556,8.70000019967556,0.009992822,0.06677693,0.00029498863,1.0
