Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
900000,0.011542802,None,2166.0,0.7218687,None,None,0.021547325,0.07129489,0.00029463237,1.0
910000,0.013937346,None,2194.0,0.72168106,None,None,0.016849453,0.06818256,0.0002945737,1.0
920000,0.01408154,None,2225.0,0.68105495,None,None,0.01803911,0.0653297,0.00029450972,1.0
930000,0.0120252315,None,2258.0,0.6935103,None,None,0.017780848,0.06328054,0.00029444575,1.0
940000,0.013386596,None,2283.0,0.7139592,None,None,0.022434495,0.067574926,0.00029438862,1.0
950000,0.012835467,None,2311.0,0.6899786,None,None,0.014519116,0.061652027,0.000294331,1.0
960000,0.01048018,None,2341.0,0.7018559,None,None,0.016900431,0.061024528,0.00029426705,1.0
970000,0.01348169,None,2368.0,0.68919694,None,None,0.020541599,0.06406848,0.0002942094,1.0
980000,0.0111984685,28859.5,2404.0,0.6980852,181.35000224411488,181.35000224411488,0.020261904,0.067788705,0.0002941524,1.0
990000,0.015371281,None,2428.0,0.69078505,None,None,0.02214195,0.06644438,0.00029408943,1.0
1000000,0.014439014,None,2461.0,0.6885597,None,None,0.016120644,0.06676544,0.00029402593,1.0
1010000,0.013493185,None,2485.0,0.67862743,None,None,0.017024262,0.06527199,0.00029396865,1.0
1020000,0.013685612,None,2512.0,0.6663899,None,None,0.018187221,0.06511097,0.00029391164,1.0
1030000,0.015582445,None,2545.0,0.68478775,None,None,0.01803949,0.06752461,0.00029384813,1.0
1040000,0.013660697,None,2571.0,0.67925566,None,None,0.017340025,0.060712256,0.0002937905,1.0
1050000,0.013433192,None,2604.0,0.6876259,None,None,0.01996995,0.06563366,0.00029373346,1.0
1060000,0.013520726,None,2631.0,0.716787,None,None,0.017333664,0.06773977,0.00029367013,1.0
1070000,0.014595866,59991.0,2655.0,0.70420945,406.10000494122505,406.10000494122505,0.020273857,0.065936744,0.00029360683,1.0
1080000,0.017559724,None,2689.0,0.72688776,None,None,0.018878678,0.06835805,0.00029354997,1.0
1090000,0.013807133,None,2718.0,0.72311425,None,None,0.020667572,0.06865035,0.00029349272,1.0
1100000,0.012583797,None,2743.0,0.7312456,None,None,0.019038929,0.06735907,0.0002934292,1.0
1110000,0.012691895,None,2771.0,0.73622286,None,None,0.018421236,0.061524343,0.00029336585,1.0
1120000,0.012407432,None,2798.0,0.7501936,None,None,0.020248665,0.062754326,0.00029330852,1.0
1130000,0.012489049,None,2829.0,0.7461531,None,None,0.01988144,0.07060681,0.00029325104,1.0
1140000,0.012078445,76090.0,2856.0,0.7511489,526.600006736815,526.600006736815,0.020109287,0.07511264,0.00029318727,1.0
1150000,0.009931826,None,2889.0,0.6986279,None,None,0.015897507,0.0669089,0.00029312915,1.0
1160000,0.013072482,None,2913.0,0.6990306,None,None,0.019627625,0.06568782,0.00029307097,1.0
1170000,0.008408771,None,2941.0,0.6772035,None,None,0.018592918,0.065475956,0.0002930076,1.0
1180000,0.011094908,None,2969.0,0.71026474,None,None,0.023527289,0.06716086,0.00029295057,1.0
1190000,0.01064206,None,2998.0,0.7850415,None,None,0.02061075,0.06717442,0.0002928934,1.0
1200000,0.011976775,None,3029.0,0.74576926,None,None,0.019695327,0.06860712,0.0002928298,1.0
1210000,0.01155678,None,3061.0,0.74833477,None,None,0.019659786,0.06524106,0.00029276643,1.0
1220000,0.011341192,None,3091.0,0.7256769,None,None,0.01893526,0.06754103,0.00029270904,1.0
1230000,0.011693748,None,3115.0,0.7311377,None,None,0.019731393,0.07381184,0.0002926504,1.0
1240000,0.011443878,None,3147.0,0.67991346,None,None,0.01723591,0.07260988,0.00029258657,1.0
1250000,0.011080171,None,3179.0,0.6939474,None,None,0.019116946,0.071494915,0.00029252886,1.0
1260000,0.011496963,None,3203.0,0.6862458,None,None,0.018863987,0.06762416,0.000292471,1.0
1270000,0.0105068935,None,3234.0,0.71504784,None,None,0.017890986,0.07014982,0.00029240735,1.0
1280000,0.009561706,None,3262.0,0.70855844,None,None,0.018926956,0.070139416,0.0002923496,1.0
1290000,0.009895254,None,3288.0,0.74076337,None,None,0.019603333,0.070826985,0.00029229218,1.0
1300000,0.011390787,None,3318.0,0.75056815,None,None,0.017080892,0.06278013,0.00029222885,1.0
1310000,0.011540007,None,3340.0,0.75529927,None,None,0.020947259,0.06851165,0.00029217155,1.0
1320000,0.010022538,None,3366.0,0.7205208,None,None,0.017242294,0.07236074,0.0002921144,1.0
1330000,0.01145288,95309.0,3397.0,0.7177534,659.8000080287457,659.8000080287457,0.022578202,0.06815761,0.0002920511,1.0
1340000,0.010103279,None,3428.0,0.69578964,None,None,0.016082589,0.07115592,0.00029198723,1.0
1350000,0.0104505895,None,3454.0,0.6952459,None,None,0.0140422555,0.07402762,0.0002919301,1.0
1360000,0.009219934,None,3487.0,0.6836232,None,None,0.016168024,0.06662847,0.0002918727,1.0
1370000,0.009890433,None,3512.0,0.7194139,None,None,0.019980807,0.06815018,0.00029180892,1.0
1380000,0.01021462,None,3536.0,0.70336306,None,None,0.016032547,0.06922239,0.00029175164,1.0
1390000,0.009627082,None,3565.0,0.71069056,None,None,0.019969357,0.071179196,0.00029169422,1.0
1400000,0.009797989,None,3593.0,0.7015472,None,None,0.016260449,0.07046461,0.00029162975,1.0
1410000,0.010741103,67523.0,3622.0,0.7136313,467.90000600367785,467.90000600367785,0.02132656,0.066375405,0.00029156587,1.0
1420000,0.011690505,None,3652.0,0.72031736,None,None,0.017123403,0.062091686,0.00029150856,1.0
1430000,0.010759264,None,3676.0,0.7135797,None,None,0.018930068,0.06519072,0.00029145135,1.0
1440000,0.009258415,None,3705.0,0.7216574,None,None,0.021094091,0.0676581,0.00029138778,1.0
1450000,0.0110983765,None,3729.0,0.7147311,None,None,0.016685165,0.071477585,0.00029133007,1.0
1460000,0.011306884,None,3754.0,0.70419574,None,None,0.019890737,0.06580807,0.00029127297,1.0
1470000,0.009781127,None,3786.0,0.70838135,None,None,0.019308489,0.0661935,0.00029120938,1.0
1480000,0.0100892205,None,3811.0,0.73093945,None,None,0.019943751,0.07255437,0.00029114587,1.0
1490000,0.011091839,None,3834.0,0.7387587,None,None,0.018677888,0.068278104,0.00029108886,1.0
1500000,0.010359965,None,3859.0,0.70427257,None,None,0.016366027,0.07262196,0.0002910315,1.0
1510000,0.011131781,None,3890.0,0.6940363,None,None,0.017210957,0.06838148,0.00029096767,1.0
1520000,0.008433965,None,3914.0,0.665615,None,None,0.017039374,0.06833227,0.00029091,1.0
1530000,0.009539212,None,3943.0,0.6747108,None,None,0.013433561,0.06735847,0.00029085248,1.0
1540000,0.010051975,None,3977.0,0.6788023,None,None,0.017263947,0.071302816,0.00029078816,1.0
1550000,0.010494854,None,4001.0,0.70334077,None,None,0.020732464,0.06460751,0.00029073074,1.0
1560000,0.011035016,None,4027.0,0.7453233,None,None,0.017914288,0.06979193,0.00029067294,1.0
1570000,0.012716869,None,4055.0,0.70954007,None,None,0.017177094,0.064544745,0.0002906084,1.0
1580000,0.010380295,None,4085.0,0.68128735,None,None,0.020327913,0.064315565,0.0002905503,1.0
1590000,0.009955029,None,4118.0,0.7019403,None,None,0.01990748,0.07143595,0.000290493,1.0
1600000,0.009545291,None,4147.0,0.7506214,None,None,0.020839315,0.064299926,0.0002904293,1.0
1610000,0.0075481473,None,4175.0,0.719644,None,None,0.0173087,0.06962445,0.00029036595,1.0
1620000,0.011271156,None,4198.0,0.6883176,None,None,0.014611656,0.068058826,0.00029030893,1.0
1630000,0.009111631,None,4221.0,0.6778337,None,None,0.017984418,0.072554834,0.00029025183,1.0
1640000,0.010302825,None,4247.0,0.6672475,None,None,0.016014796,0.05949526,0.00029018702,1.0
1650000,0.012354793,None,4279.0,0.6530804,None,None,0.013484612,0.066638045,0.00029012933,1.0
1660000,0.00898426,None,4307.0,0.65746593,None,None,0.016875472,0.072578475,0.0002900722,1.0
1670000,0.010105044,28223.0,4331.0,0.6566657,202.10000221431255,202.10000221431255,0.019269403,0.07568313,0.00029000855,1.0
1680000,0.008350013,None,4358.0,0.7015584,None,None,0.015862884,0.06456547,0.00028995133,1.0
1690000,0.009812621,None,4385.0,0.68709314,None,None,0.017066441,0.07152619,0.00028989403,1.0
1700000,0.010195108,None,4417.0,0.73807055,None,None,0.025469327,0.07497647,0.00028983044,1.0
1710000,0.011546733,None,4453.0,0.7390516,None,None,0.020114545,0.072995804,0.00028976667,1.0
1720000,0.010977315,None,4482.0,0.7412933,None,None,0.021187432,0.07348111,0.00028970948,1.0
1730000,0.009854851,None,4509.0,0.7254663,None,None,0.019297771,0.069609016,0.00028965218,1.0
1740000,0.009141013,132104.66666666666,4527.0,0.7084636,922.0333440676332,922.0333440676332,0.025897231,0.06401668,0.00028958806,1.0
1750000,0.010673645,None,None,0.6875572,None,None,0.01852479,0.07277944,0.00028953113,1.0
1760000,0.011488125,None,None,0.682706,None,None,0.015407232,0.06587137,0.00028947415,1.0
1770000,0.009450162,None,4540.0,0.6564955,None,None,0.016972965,0.06381565,0.00028941076,1.0
1780000,0.0106659345,None,4567.0,0.6792195,None,None,0.019764382,0.0690203,0.0002893473,1.0
1790000,0.010026726,None,4592.0,0.71335995,None,None,0.018830113,0.06816266,0.0002892895,1.0
1800000,0.008930968,None,4615.0,0.7135777,None,None,0.017708449,0.06840509,0.00028923183,1.0
1810000,0.011544319,None,4643.0,0.7064873,None,None,0.019084992,0.067493804,0.00028916844,1.0
1820000,0.009794452,None,4667.0,0.7308871,None,None,0.017991109,0.069140084,0.00028911125,1.0
1830000,0.0102245025,None,4698.0,0.7227523,None,None,0.018767238,0.06735991,0.0002890536,1.0
1840000,0.010670534,None,4722.0,0.7206035,None,None,0.017330345,0.07169613,0.00028898992,1.0
1850000,0.00990378,None,4747.0,0.6862118,None,None,0.015528923,0.06564291,0.00028892615,1.0
1860000,0.011507839,16000.0,4771.0,0.6568379,123.8000014796853,123.8000014796853,0.014933476,0.067197934,0.00028886914,1.0
1870000,0.01021376,None,4802.0,0.66620696,None,None,0.017770473,0.073174395,0.00028881204,1.0
1880000,0.010762657,None,4830.0,0.69283575,None,None,0.018063093,0.06802337,0.00028874812,1.0
1890000,0.0100302845,None,4853.0,0.6728775,None,None,0.014921373,0.07061875,0.0002886902,1.0
