Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,High Score,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
600000,0.0073544667,2130.0,0.20252737,4.500000064926488,4.500000064926488,None,0.018438887,0.07338031,0.0002964278,1.0
610000,0.0070663895,3473.25,0.191818,7.125000100582838,7.125000100582838,None,0.011370558,0.06656723,0.00029637082,1.0
620000,0.0059518344,513.0,0.20735781,0.6500000096857548,0.6500000096857548,None,0.010093776,0.067096315,0.0002963137,1.0
630000,0.005823481,2182.714285714286,0.2216557,5.2285714862602095,5.2285714862602095,None,0.014909436,0.071754664,0.00029625057,1.0
640000,0.004542871,1444.3333333333333,0.2136153,3.266666712860266,3.266666712860266,None,0.010459681,0.07244168,0.00029618756,1.0
650000,0.0047524925,1738.0,0.24077606,4.233333371579647,4.233333371579647,None,0.010157113,0.06509499,0.00029613072,1.0
660000,0.0046656607,1932.5,0.23438865,5.900000028312206,5.900000028312206,None,0.012328234,0.06934605,0.0002960743,1.0
670000,0.0049524955,1468.3333333333333,0.2452477,2.444444483353032,2.444444483353032,None,0.019772857,0.06494452,0.00029601116,1.0
680000,0.0034541963,11057.0,0.22615105,27.100000254809856,27.100000254809856,191.0,0.008543564,0.06925766,0.0002959476,1.0
690000,0.0040642074,2994.3333333333335,0.25921944,7.244444518453545,7.244444518453545,None,0.024026379,0.06474524,0.00029589052,1.0
700000,0.0025825666,2862.0,0.22022279,6.000000052154064,6.000000052154064,None,0.0065770545,0.06998524,0.00029583304,1.0
710000,0.0022635248,2210.0,0.21619613,7.400000125169754,7.400000125169754,None,0.009265957,0.06577548,0.0002957694,1.0
720000,0.003068509,2122.8,0.23811091,5.240000058710575,5.240000058710575,None,0.020139122,0.068004146,0.00029570557,1.0
730000,0.003934749,1647.3333333333333,0.25680742,3.7666667103767395,3.7666667103767395,None,0.007499848,0.067051485,0.00029564768,1.0
740000,0.003041653,5367.75,0.2526238,14.700000146403909,14.700000146403909,None,0.0156144025,0.07175647,0.00029559075,1.0
750000,0.0023449836,3260.0,0.2725616,8.100000102072954,8.100000102072954,None,0.014434474,0.06988952,0.00029552734,1.0
760000,0.0034255593,1159.6666666666667,0.26298392,2.100000021358331,2.100000021358331,None,0.01796208,0.068541534,0.00029547102,1.0
770000,0.0037009087,4665.666666666667,0.24532188,11.200000119705996,11.200000119705996,None,0.011080615,0.07855702,0.00029541453,1.0
780000,0.0030234843,1317.3333333333333,0.23462851,3.0333333760499954,3.0333333760499954,None,0.012531361,0.063763,0.00029535146,1.0
790000,0.0021934113,3312.5,0.21940297,8.200000084936619,8.200000084936619,198.0,0.008857249,0.0663382,0.0002952878,1.0
800000,0.002804633,966.0,0.2214371,0.8000000268220901,0.8000000268220901,213.0,0.011225938,0.06366501,0.000295231,1.0
810000,0.0028614027,3951.3333333333335,0.22804767,9.500000111758709,9.500000111758709,227.0,0.011128322,0.06903652,0.00029517376,1.0
820000,0.0020646486,5480.0,0.24208847,13.300000220537186,13.300000220537186,246.0,0.008665727,0.06831867,0.00029511022,1.0
830000,0.0019366825,7386.0,0.25905478,21.000000193715096,21.000000193715096,260.0,0.009043606,0.068413235,0.00029504648,1.0
840000,0.0022452134,1697.5,0.2737077,4.700000114738941,4.700000114738941,274.0,0.0077350386,0.064805485,0.00029498935,1.0
850000,0.003642093,2977.714285714286,0.27537012,7.371428657855306,7.371428657855306,287.0,0.018400885,0.06328948,0.00029493272,1.0
860000,0.0020117834,3044.5,0.267181,7.550000075250864,7.550000075250864,301.0,0.012113561,0.06779342,0.00029486947,1.0
870000,0.0016585218,None,0.2735057,None,None,314.0,0.0066099605,0.067944005,0.00029480597,1.0
880000,0.0023220435,1879.5,0.25344548,3.3500000461935997,3.3500000461935997,328.0,0.011817506,0.06836522,0.00029474802,1.0
890000,0.0016941965,5652.0,0.2324612,13.300000116229057,13.300000116229057,349.0,0.010133714,0.0676597,0.0002946906,1.0
900000,0.0022868563,3061.4,0.25616696,7.2200000748038295,7.2200000748038295,365.0,0.014450173,0.06263246,0.00029462678,1.0
910000,0.0017362116,408.0,0.23130368,0.30000000447034836,0.30000000447034836,384.0,0.008848225,0.07057344,0.00029457,1.0
920000,0.0024237654,4073.75,0.24583986,10.650000106543303,10.650000106543303,403.0,0.015233787,0.0720157,0.00029451313,1.0
930000,0.0025134666,6690.5,0.24485277,17.62500019185245,17.62500019185245,420.0,0.015168095,0.062851116,0.00029444974,1.0
940000,0.0018696459,619.0,0.26834503,1.3000000342726707,1.3000000342726707,434.0,0.008744776,0.0726197,0.00029438597,1.0
950000,0.0015492026,8691.0,0.2779615,31.900000229477882,31.900000229477882,451.0,0.010934823,0.06832374,0.00029432858,1.0
960000,0.0012733928,1305.0,0.27528766,2.700000047683716,2.700000047683716,464.0,0.00877356,0.0689914,0.0002942715,1.0
970000,0.0023132511,3688.5,0.2672714,8.625000096857548,8.625000096857548,477.0,0.012589824,0.069489636,0.00029420774,1.0
980000,0.0020969121,4359.666666666667,0.24475825,11.666666785875956,11.666666785875956,491.0,0.010338034,0.06444744,0.00029415032,1.0
990000,0.0036965327,2918.6666666666665,0.2502255,7.016666730244954,7.016666730244954,506.0,0.018481618,0.06378879,0.00029409438,1.0
1000000,0.002023792,497.0,0.25545236,1.0500000342726707,1.0500000342726707,522.0,0.011826672,0.06311868,0.0002940316,1.0
1010000,0.0025441588,2802.8,0.2660777,7.380000093579293,7.380000093579293,533.0,0.01586214,0.06700797,0.0002939682,1.0
1020000,0.0019294547,2679.0,0.26346025,6.400000050663948,6.400000050663948,552.0,0.012732281,0.06517541,0.00029391143,1.0
1030000,0.0036900772,1550.0,0.25018752,2.900000024586916,2.900000024586916,563.0,0.009447547,0.0672456,0.00029385448,1.0
1040000,0.0030182328,2228.8,0.22811942,6.0600000560283664,6.0600000560283664,575.0,0.015282822,0.06303612,0.0002937909,1.0
1050000,0.0022459798,4090.0,0.22608055,11.350000116974115,11.350000116974115,597.0,0.010149801,0.06971646,0.0002937274,1.0
1060000,0.0017830882,None,0.23378132,None,None,613.0,0.008850981,0.06910618,0.00029367013,1.0
1070000,0.00311074,3140.0,0.2665016,8.450000111013651,8.450000111013651,625.0,0.015099871,0.06732772,0.00029361324,1.0
1080000,0.0020306439,12457.0,0.26512972,34.300000332295895,34.300000332295895,638.0,0.007457141,0.06608392,0.0002935499,1.0
1090000,0.0022038757,2130.5,0.2562739,4.725000072270632,4.725000072270632,651.0,0.012892904,0.06485599,0.00029348646,1.0
