Steps,Policy/Entropy,High Score,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
1620000,0.016208813,6030.0,None,0.639785,None,None,0.013836193,0.062057517,0.00029030853,1.0
1630000,0.01469296,6334.0,None,0.61336553,None,None,0.0112040695,0.06775187,0.00029025148,1.0
1640000,0.011826136,6647.0,None,0.6089047,None,None,0.017075507,0.06606338,0.00029019447,1.0
1650000,0.014225896,6960.0,None,0.58936375,None,None,0.014308674,0.065152474,0.0002901311,1.0
1660000,0.014401047,7295.0,None,0.6083141,None,None,0.01763061,0.07525387,0.00029006775,1.0
1670000,0.01327311,7599.0,None,0.59521085,None,None,0.015138478,0.077872135,0.00029001074,1.0
1680000,0.012969649,7917.0,None,0.59817725,None,None,0.013956694,0.07001699,0.00028995372,1.0
1690000,0.014182662,8113.0,256804.0,0.60638785,1562.3000203371048,1562.3000203371048,0.018081626,0.06347798,0.00028989042,1.0
1700000,0.021304907,None,None,0.62349164,None,None,0.021627408,0.06766927,0.00028982712,1.0
1710000,0.020607952,None,None,0.63406587,None,None,0.01631692,0.06762837,0.00028977013,1.0
1720000,0.019454746,None,None,0.6193454,None,None,0.013838626,0.07240971,0.0002897131,1.0
1730000,0.015254357,None,None,0.6303721,None,None,0.018538862,0.059554003,0.00028964973,1.0
1740000,0.012496832,None,None,0.6542188,None,None,0.016679073,0.062404353,0.00028958637,1.0
1750000,0.014774225,None,None,0.6421657,None,None,0.017327268,0.06626971,0.00028952936,1.0
1760000,0.014028116,None,None,0.6323381,None,None,0.016785674,0.06650138,0.00028947234,1.0
1770000,0.011196261,None,None,0.6285486,None,None,0.012672491,0.0666192,0.00028940896,1.0
1780000,0.013038662,None,None,0.62102044,None,None,0.015227312,0.065557174,0.00028934563,1.0
1790000,0.011266475,None,None,0.64623475,None,None,0.019990038,0.06523181,0.0002892886,1.0
1800000,0.013193077,None,None,0.6578893,None,None,0.016682575,0.0699482,0.00028923157,1.0
1810000,0.011067779,None,None,0.65969664,None,None,0.01780473,0.07478844,0.0002891682,1.0
1820000,0.013451427,None,None,0.64331055,None,None,0.013563314,0.067705125,0.0002891112,1.0
1830000,0.0144267455,None,None,0.621818,None,None,0.016169677,0.069321886,0.00028905418,1.0
1840000,0.020320188,None,None,0.6293383,None,None,0.016222361,0.06902468,0.0002889908,1.0
1850000,0.023860132,None,None,0.6092438,None,None,0.012252847,0.074404135,0.00028892743,1.0
1860000,0.0210319,None,None,0.61400807,None,None,0.016777374,0.06602357,0.0002888704,1.0
1870000,0.02294282,None,None,0.5949878,None,None,0.013537692,0.06692606,0.00028881337,1.0
1880000,0.021507576,None,None,0.58860564,None,None,0.014446884,0.069243066,0.00028875002,1.0
1890000,0.019496996,None,None,0.600058,None,None,0.0149367945,0.06659021,0.00028868666,1.0
1900000,0.020034479,None,None,0.62068635,None,None,0.014149677,0.0739528,0.0002886296,1.0
1910000,0.018418504,None,None,0.6185852,None,None,0.017345909,0.074088,0.00028857263,1.0
1920000,0.0178738,None,None,0.6216354,None,None,0.015650997,0.06312255,0.00028850927,1.0
1930000,0.017439753,None,None,0.63900197,None,None,0.017284952,0.06797229,0.0002884459,1.0
1940000,0.017678857,8173.0,None,0.6375844,None,None,0.0154493805,0.0664888,0.00028838887,1.0
1950000,0.011438183,8480.0,None,0.59866446,None,None,0.014347081,0.06582156,0.00028833185,1.0
1960000,0.012088129,8801.0,None,0.61901003,None,None,0.015316466,0.06788157,0.0002882685,1.0
1970000,0.014634393,9108.0,None,0.60017186,None,None,0.014065549,0.06536719,0.00028821145,1.0
1980000,0.014678812,9425.0,None,0.61853665,None,None,0.015187676,0.066647105,0.00028815446,1.0
1990000,0.017915847,9747.0,None,0.6064238,None,None,0.016041508,0.06675001,0.00028809108,1.0
2000000,0.019172106,10060.0,None,0.5986881,None,None,0.014451611,0.07024254,0.00028802772,1.0
2010000,0.019506004,10383.0,None,0.589308,None,None,0.015605496,0.06337829,0.0002879707,1.0
2020000,0.019600183,10693.0,None,0.59369063,None,None,0.015942203,0.06447839,0.00028791366,1.0
2030000,0.019940939,11005.0,None,0.5948828,None,None,0.014437449,0.07145553,0.00028785033,1.0
2040000,0.018601347,11332.0,None,0.6427695,None,None,0.0178135,0.060782332,0.00028778697,1.0
2050000,0.019350495,11659.0,None,0.66763866,None,None,0.017475408,0.06680335,0.00028772993,1.0
2060000,0.020383416,11980.0,None,0.67757976,None,None,0.016863246,0.06798967,0.0002876729,1.0
2070000,0.018634746,12294.0,None,0.64651793,None,None,0.015025499,0.067559674,0.00028760955,1.0
2080000,0.01769307,12607.0,None,0.61539155,None,None,0.015596958,0.06767712,0.0002875462,1.0
2090000,0.0186953,12929.0,None,0.61175346,None,None,0.015272359,0.06483355,0.00028748918,1.0
2100000,0.019847417,13240.0,None,0.6145502,None,None,0.013986508,0.06578009,0.00028743214,1.0
2110000,0.01599434,13518.0,422535.0,0.6327286,2642.7000339627266,2642.7000339627266,0.020111542,0.06716617,0.00028736884,1.0
2120000,0.021642864,None,None,0.6139475,None,None,0.013270756,0.062255193,0.00028730577,1.0
2130000,0.023267167,None,None,0.5961368,None,None,0.0131462775,0.06652097,0.00028724875,1.0
2140000,0.020838767,None,None,0.6068709,None,None,0.013968336,0.06786212,0.0002871917,1.0
2150000,0.020718908,None,None,0.6074231,None,None,0.015072113,0.07386927,0.00028712835,1.0
2160000,0.019814167,None,None,0.656936,None,None,0.018464338,0.07386003,0.0002870713,1.0
2170000,0.02281293,None,None,0.62709504,None,None,0.013109448,0.06905966,0.0002870143,1.0
2180000,0.021291753,None,None,0.60541594,None,None,0.012469528,0.06327409,0.00028695093,1.0
2190000,0.021976165,None,None,0.5918391,None,None,0.015800055,0.06481311,0.00028688757,1.0
2200000,0.020146834,None,None,0.5983918,None,None,0.016522422,0.06887676,0.00028683053,1.0
2210000,0.018701153,None,None,0.6111569,None,None,0.017142823,0.060636897,0.00028677352,1.0
